,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
1911,16647384.0,Warner Bros.,USA,Paul Feig,Adventure,26000000.0,Unaccompanied Minors,PG,08-12-2006,90.0,5.1,Dyllan Christopher,8970.0,Jacob Meszaros,2006
1912,38634938.0,Paramount Pictures,UK,Matthew Vaughn,Adventure,70000000.0,Stardust,PG-13,10-08-2007,127.0,7.7,Charlie Cox,224119.0,Jane Goldman,2007
1913,150000000.0,Warner Bros.,UK,David Yates,Adventure,292004738.0,Harry Potter and the Order of the Phoenix,PG-13,11-07-2007,138.0,7.5,Daniel Radcliffe,396738.0,Michael Goldenberg,2007
1914,15000000.0,Paramount Vantage,USA,Sean Penn,Adventure,18352454.0,Into the Wild,R,19-10-2007,148.0,8.1,Emile Hirsch,471946.0,Sean Penn,2007
1915,3675753.0,DNA Films,UK,Danny Boyle,Adventure,97500000.0,Sunshine,R,27-07-2007,107.0,7.3,Cillian Murphy,204114.0,Alex Garland,2007
1916,70107728.0,New Line Cinema,UK,Chris Weitz,Adventure,180000000.0,The Golden Compass,PG-13,07-12-2007,113.0,6.1,Nicole Kidman,157342.0,Chris Weitz,2007
1917,17000000.0,Walden Media,USA,Gabor Csupo,Adventure,82272442.0,Bridge to Terabithia,PG,16-02-2007,96.0,7.2,Josh Hutcherson,119947.0,Jeff Stockwell,2007
1918,11902715.0,Fox Searchlight Pictures,USA,Wes Anderson,Adventure,17500000.0,The Darjeeling Limited,R,26-10-2007,91.0,7.2,Owen Wilson,149906.0,Wes Anderson,2007
1919,53606916.0,Lionsgate,USA,James Mangold,Adventure,55000000.0,3:10 to Yuma,R,07-09-2007,122.0,7.7,Russell Crowe,252471.0,Halsted Welles,2007
1920,45000000.0,Warner Bros.,USA,Rob Reiner,Adventure,93466502.0,The Bucket List,PG-13,11-01-2008,97.0,7.4,Jack Nicholson,198697.0,Justin Zackham,2007
1921,20000000.0,Regency Enterprises,USA,Jason Friedberg,Adventure,39739367.0,Epic Movie,PG-13,26-01-2007,86.0,2.3,Kal Penn,93481.0,Jason Friedberg,2007
1922,969869.0,Intermedia,USA,Richard Shepard,Adventure,25000000.0,The Hunting Party,R,21-09-2007,101.0,6.9,Richard Gere,22857.0,Richard Shepard,2007
1923,5701643.0,CTB Film Company,Russia,Sergei Bodrov,Adventure,20000000.0,Mongol: The Rise of Genghis Khan,R,04-07-2008,126.0,7.3,Tadanobu Asano,39640.0,Arif Aliev,2007
1924,71195053.0,Paramount Pictures,USA,Mark Waters,Adventure,90000000.0,The Spiderwick Chronicles,PG,14-02-2008,96.0,6.6,Freddie Highmore,74370.0,Karey Kirkpatrick,2008
1925,75000000.0,Universal Pictures,USA,Quentin Tarantino,Adventure,120540719.0,Inglourious Basterds,R,21-08-2009,153.0,8.3,Brad Pitt,988686.0,Quentin Tarantino,2009
1926,250000000.0,Warner Bros.,UK,David Yates,Adventure,301959197.0,Harry Potter and the Half-Blood Prince,PG,15-07-2009,153.0,7.5,Daniel Radcliffe,362271.0,Steve Kloves,2009
1927,23600000.0,Columbia Pictures,USA,Ruben Fleischer,Adventure,75590286.0,Zombieland,R,02-10-2009,88.0,7.7,Jesse Eisenberg,419201.0,Rhett Reese,2009
1928,6532908.0,Vinod Chopra Productions,India,Rajkumar Hirani,Adventure,24300000.0,3 Idiots,PG-13,25-12-2009,170.0,8.4,Aamir Khan,250762.0,Rajkumar Hirani,2009
1929,56692.0,Dimension Films,USA,John Hillcoat,Adventure,25000000.0,The Road,R,18-12-2009,111.0,7.3,Viggo Mortensen,191196.0,Cormac McCarthy,2009
1930,50000000.0,Temple Hill Entertainment,USA,Chris Weitz,Adventure,296623634.0,The Twilight Saga: New Moon,PG-13,20-11-2009,130.0,4.6,Kristen Stewart,232524.0,Melissa Rosenberg,2009
1931,7689607.0,Infinity Features Entertainment,UK,Terry Gilliam,Adventure,40000000.0,The Imaginarium of Doctor Parnassus,PG-13,08-01-2010,123.0,6.8,Christopher Plummer,131731.0,Terry Gilliam,2009
1932,17546.0,BBC Films,Denmark,Nicolas Winding Refn,Adventure,50000000.0,Valhalla Rising,PG,31-03-2010,93.0,6.0,Mads Mikkelsen,47214.0,Nicolas Winding Refn,2009
1933,43337279.0,Columbia Pictures,USA,Harold Ramis,Adventure,60000000.0,Year One,PG-13,19-06-2009,97.0,4.9,Jack Black,80204.0,Harold Ramis,2009
1934,150000000.0,Twentieth Century Fox Film Corporation,USA,Shawn Levy,Adventure,177243721.0,Night at the Museum: Battle of the Smithsonian,PG,22-05-2009,105.0,5.9,Ben Stiller,143636.0,Robert Ben Garant,2009
1935,49438370.0,Universal Pictures,USA,Brad Silberling,Adventure,100000000.0,Land of the Lost,PG-13,05-06-2009,102.0,5.4,Will Ferrell,54864.0,Chris Henchy,2009
1936,77233467.0,Warner Bros.,Germany,Spike Jonze,Adventure,100000000.0,Donde viven los monstruos,PG,16-10-2009,101.0,6.8,Max Records,91833.0,Spike Jonze,2009
1937,617840.0,Mod Producciones,Spain,Alejandro Amenábar,Adventure,70000000.0,Agora,R,10-09-2010,127.0,7.2,Rachel Weisz,56850.0,Alejandro Amenábar,2009
1938,688529.0,The Weinstein Company,USA,Kyle Newman,Adventure,3900000.0,Fanboys,PG-13,13-02-2009,100.0,6.6,Dan Fogler,51872.0,Ernest Cline,2009
1939,8855646.0,Miramax,USA,Kirk Jones,Adventure,21000000.0,Everybody's Fine,PG-13,04-12-2009,100.0,7.2,Robert De Niro,52792.0,Kirk Jones,2009
1940,35922978.0,Metro-Goldwyn-Mayer (MGM),USA,Harald Zwart,Adventure,70000000.0,The Pink Panther 2,PG,06-02-2009,92.0,5.6,Steve Martin,35845.0,Scott Neustadter,2009
1941,88761720.0,Fox 2000 Pictures,UK,Chris Columbus,Adventure,95000000.0,Percy Jackson & the Olympians: The Lightning Thief,PG,12-02-2010,118.0,5.9,Logan Lerman,152255.0,Craig Titley,2010
1942,200000000.0,Walt Disney Pictures,USA,Tim Burton,Adventure,334191110.0,Alice in Wonderland,PG,05-03-2010,108.0,6.5,Mia Wasikowska,331389.0,Linda Woolverton,2010
1943,38000000.0,Paramount Pictures,USA,Ethan Coen,Adventure,171243005.0,True Grit,PG-13,22-12-2010,110.0,7.6,Jeff Bridges,259855.0,Joel Coen,2010
1944,18000000.0,Pathé,USA,Danny Boyle,Adventure,18335230.0,127 Hours,R,28-01-2011,94.0,7.6,James Franco,299503.0,Danny Boyle,2010
1945,68000000.0,Summit Entertainment,USA,David Slade,Adventure,300531751.0,The Twilight Saga: Eclipse,PG-13,30-06-2010,124.0,4.9,Kristen Stewart,195941.0,Melissa Rosenberg,2010
1946,15000000.0,Fox 2000 Pictures,USA,Elizabeth Allen Rosenbaum,Adventure,26161406.0,Ramona and Beezus,G,23-07-2010,100.0,6.7,Joey King,14808.0,Laurie Craig,2010
1947,104386950.0,Fox 2000 Pictures,USA,Michael Apted,Adventure,155000000.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,PG,10-12-2010,113.0,6.3,Ben Barnes,116260.0,Christopher Markus,2010
1948,4018695.0,Dharma Productions,India,Karan Johar,Adventure,12000000.0,My Name Is Khan,PG-13,12-02-2010,165.0,8.0,Shah Rukh Khan,81130.0,Shibani Bathija,2010
